Timestamp,Open,High,Low,Close,Volume
1748007000,108710,109727,108655,109661,129.65649323
1748008800,109666,110028,109564,109564,49.11745482
1748010600,109632,109972,109565,109748,31.89432395
1748012400,109749,109904,109052,109428,9.49876143
1748014200,109509,109793,108957,108957,2.84950001
1748016000,108957,109263,108050,108745,28.46289607
1748017800,108799,109119,108596,109074,7.08854512
1748019600,109099,109837,109099,109805,6.17822391
1748021400,109800,109800,109338,109459,9.07882424
1748023200,109436,109529,108864,109105,6.08561099
1748025000,109128,109160,108684,108821,8.39182896
1748026800,108811,109207,108742,108943,54.91686943
1748028600,108957,109110,108676,108764,107.50231148
1748030400,108727,108748,108511,108685,11.68849495
1748032200,108686,108686,108221,108313,16.00912450
1748034000,108275,108652,108203,108441,8.29177685
1748035800,108388,108688,108105,108292,13.88927447
1748037600,108319,108584,108282,108361,4.94042719
1748039400,108323,108420,107670,107822,24.45172936
1748041200,107785,107902,107417,107431,16.14852884
1748043000,107439,107669,106827,107329,82.02633579
1748044800,107319,107483,106908,107268,25.90157919
1748046600,107271,107709,107271,107393,14.74071307
1748048400,107402,107913,107391,107746,14.38324898
1748050200,107751,107800,107497,107508,7.50766315
1748052000,107448,107845,107290,107808,26.84302260
1748053800,107818,107923,107734,107817,24.66942073
1748055600,107815,108322,107782,108322,21.48422967
1748057400,108322,108453,108120,108391,14.23351893
1748059200,108393,108507,108344,108480,5.39621545
1748061000,108473,108586,108419,108508,21.75331472
1748062800,108507,108545,108269,108385,3.67123025
1748064600,108443,108464,108145,108264,2.11227039
1748066400,108263,108354,108023,108221,1.55254235
1748068200,108217,108217,107725,107979,33.31969595
1748070000,108080,108259,108058,108241,2.37534437
1748071800,108244,108244,107601,107653,10.94992585
1748073600,107726,108017,107649,107921,5.03308175
1748075400,107910,108312,107883,108263,25.71911639
1748077200,108240,108455,108229,108360,9.82427938
1748079000,108384,108416,108199,108204,2.64605982
1748080800,108213,108446,108202,108446,1.19018392
1748082600,108414,109258,108414,109109,38.21337228
1748084400,109114,109501,109114,109356,16.36008891
1748086200,109404,109499,109190,109228,3.48703193
1748088000,109225,109293,108676,108870,35.62972468
